WeaponID,WeaponType,Material,Rarity,AttackPower,Durability,Range,Weight
503,Hammer,Titanium,Rare,122,82,297,44.13
504,Spear,Gold,Ancient,168,57,1,19.32
505,Whip,Titanium,Epic,185,81,54,5.68
506,Shotgun,Magnesium Alloy,Ancient,361,20,109,27.7
507,Bazooka,Silver,Common,415,60,69,40.46
508,Sword,Bronze,Uncommon,398,24,91,5.72
509,Staff,Composite,Legendary,398,70,200,17.01
510,Spear,Silver,Uncommon,271,18,22,3.08
511,Mace,Titanium,Ancient,185,12,75,24.3
512,Hammer,Diamond,Legendary,111,90,277,45.1
513,Plasma Gun,Iron,Rare,185,16,277,20.82
514,Mace,Titanium,Epic,356,76,181,40.63
515,Plasma Gun,Gold,Ancient,230,80,51,25.17
516,Laser Gun,Graphene,Rare,317,35,123,38.69
517,Rifle,Silver,Common,415,33,244,37.53
518,Crossbow,Bronze,Epic,412,34,29,34.4
519,Flail,Silver,Uncommon,185,73,110,40.47
520,Laser Gun,Graphene,Epic,294,41,88,33.42
521,Dagger,Reinforced Concrete,Divine,371,78,240,13.76
522,Sling,Steel,Ancient,378,71,14,31.67
523,Bazooka,Silver,Divine,315,60,174,30.03
524,Throwing Star,Gold,Divine,185,26,275,22.29
525,Sniper Rifle,Magnesium Alloy,Epic,185,37,52,42.01
526,Grenade Launcher,Composite,Ancient,135,1,41,14.84
527,Dagger,Reinforced Concrete,Rare,341,65,179,11.03
528,Laser Gun,Carbon Fiber,Uncommon,323,63,297,16.89
529,Shotgun,Wood,Rare,221,48,215,43.54
530,Hammer,Bronze,Common,415,33,58,20.93
531,Pistol,Graphene,Legendary,185,95,200,41.04
532,Laser Gun,Plastic,Rare,248,67,100,29.56
533,Scythe,Titanium,Uncommon,185,98,243,13.8
534,Grenade Launcher,Silver,Common,318,71,234,21.97
535,Spear,Iron,Common,185,89,175,23.02
536,Rifle,Iron,Common,425,36,48,31.96
537,Sling,Steel,Epic,285,27,297,48.78
538,Laser Gun,Iron,Uncommon,175,21,223,15.02
539,Crossbow,Bronze,Uncommon,185,84,123,7.15
540,Grenade Launcher,Iron,Common,315,89,112,3.21
541,Sword,Obsidian,Uncommon,415,51,193,36.81
542,Laser Gun,Adamantium,Ancient,224,52,217,12.89
543,Bazooka,Plastic,Ancient,223,60,203,1.66
544,Bazooka,Plastic,Mythical,215,61,250,26.02
545,Pistol,Wood,Mythical,385,71,104,27.54
546,Blowgun,Iron,Common,315,77,296,30.89
547,Bow,Magnesium Alloy,Ancient,265,81,224,1.46
548,Scythe,Composite,Rare,185,54,200,19.48
549,Sniper Rifle,Carbon Fiber,Ancient,132,7,87,32.31
550,Crossbow,Reinforced Concrete,Epic,240,81,248,8.85
551,Bazooka,Silver,Legendary,296,76,144,25.8
552,Blowgun,Gold,Mythical,229,62,212,2.72
553,Sling,Bronze,Ancient,385,78,222,32.61
554,Spear,Steel,Rare,376,96,163,24.39
555,Laser Gun,Graphene,Mythical,108,100,201,49.46
556,Flail,Silver,Epic,302,81,238,47.14
557,Pistol,Titanium,Legendary,158,50,82,31.12
558,Sniper Rifle,Graphene,Mythical,185,25,292,9.42
559,Blowgun,Titanium,Rare,154,33,153,30.14
560,Dagger,Iron,Legendary,185,21,105,41.07
561,Flail,Graphene,Ancient,338,47,188,13.83
562,Sniper Rifle,Silver,Rare,332,26,92,22.03
563,Throwing Star,Graphene,Legendary,236,97,24,32.74
564,Shotgun,Bronze,Rare,346,3,114,38.59
565,Whip,Diamond,Rare,185,84,217,34.54
566,Pistol,Magnesium Alloy,Rare,160,33,16,42.83
567,Blowgun,Plastic,Epic,185,36,271,43.91
568,Shotgun,Plastic,Legendary,418,84,42,2.1
569,Blowgun,Obsidian,Common,407,92,131,14.63
570,Rocket Launcher,Mythril,Mythical,402,26,127,16.24
571,Machine Gun,Composite,Ancient,198,89,24,21.82
572,Grenade Launcher,Iron,Uncommon,293,3,92,31.75
573,Crossbow,Magnesium Alloy,Divine,185,23,183,28.73
574,Bow,Titanium,Mythical,185,73,254,24.72
575,Machine Gun,Diamond,Uncommon,365,1,213,46.73
576,Spear,Obsidian,Legendary,129,73,273,38.73
577,Dagger,Reinforced Concrete,Common,391,37,282,47.71
578,Rocket Launcher,Silver,Divine,127,76,51,35.13
579,Blowgun,Graphene,Epic,231,17,280,42.56
580,Rifle,Reinforced Concrete,Uncommon,164,27,192,34.02
581,Rifle,Titanium,Uncommon,347,40,267,12.49
582,Sword,Graphene,Mythical,231,36,67,31.16
583,Whip,Silver,Legendary,185,70,44,8.43
584,Sniper Rifle,Diamond,Ancient,188,67,291,24.93
585,Bow,Iron,Divine,185,13,269,46.04
586,Rocket Launcher,Graphene,Ancient,185,72,9,45.68
587,Sniper Rifle,Carbon Fiber,Rare,365,90,147,16.89
588,Throwing Star,Graphene,Legendary,297,62,179,12.56
589,Spear,Magnesium Alloy,Common,415,79,230,42.7
590,Staff,Silver,Divine,312,63,298,38.17
591,Scythe,Silver,Legendary,271,86,207,6.97
592,Scythe,Graphene,Mythical,185,17,275,25.81
593,Laser Gun,Steel,Ancient,185,64,185,33.82
594,Staff,Reinforced Concrete,Mythical,418,100,44,30.22
595,Hammer,Reinforced Concrete,Divine,211,62,28,24.5
596,Mace,Steel,Mythical,182,86,106,45.53
597,Dagger,Titanium,Epic,185,78,88,25.49
598,Sword,Iron,Epic,158,82,206,35.69
599,Plasma Gun,Silver,Common,415,39,31,8.86
600,Axe,Reinforced Concrete,Uncommon,332,17,138,0.82
601,Grenade Launcher,Plastic,Rare,318,53,102,28.32
602,Staff,Silver,Uncommon,128,7,150,44.65
603,Pistol,Gold,Ancient,185,1,117,34.54
604,Crossbow,Bronze,Rare,185,63,230,47.78
605,Crossbow,Titanium,Divine,185,59,253,14.43
606,Pistol,Iron,Mythical,281,16,164,27.15
607,Machine Gun,Adamantium,Rare,280,20,17,35.72
608,Flail,Gold,Divine,391,76,188,40.58
609,Crossbow,Bronze,Common,415,77,118,37.55
610,Scythe,Bronze,Uncommon,231,40,3,43.63
611,Shotgun,Bronze,Epic,407,75,28,11.56
612,Whip,Carbon Fiber,Epic,246,53,233,37.49
613,Sniper Rifle,Graphene,Ancient,271,21,255,17.61
614,Staff,Composite,Epic,185,94,268,33.98
615,Sniper Rifle,Obsidian,Epic,185,23,200,2.88
616,Scythe,Silver,Legendary,185,97,273,27.84
617,Grenade Launcher,Mythril,Divine,185,35,272,49.27
618,Plasma Gun,Titanium,Ancient,185,1,9,22.07
619,Laser Gun,Carbon Fiber,Legendary,265,16,19,3.92
620,Shotgun,Iron,Legendary,368,92,67,31.04
621,Dagger,Mythril,Uncommon,185,65,212,28.66
622,Dagger,Steel,Epic,384,45,117,34.37
623,Sniper Rifle,Composite,Common,370,29,202,11.55
624,Crossbow,Iron,Divine,138,27,290,39.26
625,Rocket Launcher,Adamantium,Legendary,130,31,116,26.82
626,Bow,Bronze,Epic,185,18,89,22.96
627,Bazooka,Carbon Fiber,Legendary,285,40,114,6.37
628,Dagger,Steel,Common,415,86,250,6.17
629,Crossbow,Gold,Mythical,185,15,46,35.95
630,Staff,Reinforced Concrete,Uncommon,321,25,78,40.08
631,Machine Gun,Silver,Divine,301,35,68,22.0
632,Scythe,Magnesium Alloy,Common,415,17,199,37.82
633,Pistol,Bronze,Legendary,113,95,84,9.32
634,Pistol,Mythril,Ancient,330,88,14,26.71
635,Sword,Reinforced Concrete,Uncommon,185,56,58,32.43
636,Bow,Magnesium Alloy,Legendary,264,27,133,2.89
637,Blowgun,Composite,Mythical,185,56,253,29.24
638,Crossbow,Wood,Legendary,129,79,279,45.67
639,Crossbow,Titanium,Epic,185,100,217,30.25
640,Rifle,Magnesium Alloy,Mythical,378,20,132,48.02
641,Sniper Rifle,Wood,Uncommon,107,52,3,21.15
642,Dagger,Obsidian,Epic,303,79,135,17.61
643,Throwing Star,Adamantium,Uncommon,185,57,233,40.78
644,Rifle,Carbon Fiber,Common,415,59,50,16.33
645,Dagger,Titanium,Ancient,198,98,265,43.6
646,Rifle,Iron,Uncommon,268,13,114,33.5
647,Grenade Launcher,Obsidian,Common,267,53,238,38.77
648,Crossbow,Titanium,Common,341,39,136,48.29
649,Sniper Rifle,Wood,Rare,169,55,158,42.43
650,Mace,Composite,Divine,340,39,268,11.81
651,Blowgun,Wood,Uncommon,360,6,166,17.88
652,Sniper Rifle,Mythril,Rare,264,18,125,39.28
653,Whip,Gold,Uncommon,415,4,90,48.75
654,Whip,Composite,Ancient,185,74,227,8.57
655,Whip,Magnesium Alloy,Ancient,219,2,266,44.22
656,Plasma Gun,Plastic,Uncommon,415,40,92,6.59
657,Sling,Bronze,Mythical,358,1,128,44.4
658,Blowgun,Carbon Fiber,Rare,185,87,259,17.52
659,Axe,Mythril,Legendary,318,28,94,7.61
660,Laser Gun,Carbon Fiber,Mythical,280,29,288,29.83
661,Sword,Magnesium Alloy,Ancient,239,32,54,24.9
662,Hammer,Bronze,Ancient,385,45,71,9.48
663,Sniper Rifle,Diamond,Ancient,196,21,142,4.52
664,Sling,Bronze,Uncommon,185,98,106,33.97
665,Axe,Diamond,Uncommon,185,30,117,1.2
666,Flail,Iron,Rare,220,34,238,4.59
667,Pistol,Composite,Epic,315,46,195,42.44
668,Shotgun,Gold,Uncommon,185,97,223,7.61
669,Axe,Gold,Ancient,231,77,223,23.93
670,Laser Gun,Magnesium Alloy,Uncommon,296,33,291,31.61
671,Blowgun,Iron,Uncommon,392,92,194,38.45
672,Pistol,Graphene,Common,415,47,215,35.33
673,Dagger,Magnesium Alloy,Divine,162,79,281,37.56
674,Scythe,Magnesium Alloy,Uncommon,185,72,118,44.5
675,Plasma Gun,Mythril,Uncommon,185,73,188,4.13
676,Rocket Launcher,Graphene,Legendary,217,47,218,22.85
677,Mace,Mythril,Rare,368,78,261,31.52
678,Sling,Obsidian,Epic,236,67,221,36.98
679,Hammer,Gold,Ancient,220,50,48,13.76
680,Laser Gun,Diamond,Epic,410,89,190,37.6
681,Hammer,Bronze,Divine,185,43,134,45.94
682,Bow,Graphene,Ancient,185,52,74,8.44
683,Sling,Bronze,Divine,310,57,53,48.43
684,Shotgun,Plastic,Epic,385,76,29,21.16
685,Laser Gun,Titanium,Rare,185,92,165,33.77
686,Mace,Titanium,Mythical,378,99,236,28.31
687,Grenade Launcher,Obsidian,Rare,355,86,263,23.39
688,Flail,Wood,Legendary,279,18,73,38.42
689,Bazooka,Plastic,Legendary,418,20,138,44.93
690,Hammer,Graphene,Mythical,188,92,127,8.35
691,Blowgun,Gold,Divine,135,23,222,19.85
692,Blowgun,Plastic,Legendary,351,53,288,32.53
693,Hammer,Diamond,Common,415,57,243,19.99
694,Throwing Star,Steel,Mythical,185,27,215,31.66
695,Staff,Magnesium Alloy,Common,415,71,123,26.75
696,Flail,Diamond,Divine,180,30,115,38.03
697,Pistol,Obsidian,Common,415,73,127,45.99
698,Whip,Diamond,Legendary,216,68,176,47.37
699,Dagger,Wood,Ancient,406,36,249,18.87
700,Pistol,Diamond,Common,185,83,36,29.75
701,Plasma Gun,Gold,Divine,185,70,151,28.43
702,Rifle,Obsidian,Legendary,137,12,258,39.85
703,Grenade Launcher,Magnesium Alloy,Mythical,181,97,258,10.54
704,Shotgun,Iron,Uncommon,258,15,274,45.12
705,Hammer,Bronze,Uncommon,127,8,93,35.69
706,Bazooka,Plastic,Divine,415,47,19,17.46
707,Throwing Star,Titanium,Rare,261,28,134,12. 
